@RELATION svm_STU_model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE class {Gyungmin_wav,Jukook,HH,SH}

@DATA
0.062560,0.004129,3.044520,0.149086,0.200374,0.380227,0.006533,0.108848,-31.366764,2.541605,-0.473582,-0.003200,0.321556,-0.181116,-0.622468,0.067276,-0.077551,-0.222177,0.124144,0.259104,-0.106599,0.013997,0.013809,0.016944,0.013450,0.028179,0.013809,0.020753,0.005943,0.020712,0.012535,0.022247,0.007700,0.014258,0.046995,0.008251,0.304413,0.073869,0.037185,0.421405,0.003132,0.141012,2.240543,0.759191,0.644725,0.325057,0.358316,0.311306,0.205089,0.173456,0.210254,0.161116,0.196042,0.175012,0.097483,0.006296,0.011529,0.010487,0.011943,0.019984,0.010872,0.014633,0.009320,0.020850,0.009675,0.012214,0.009521,0.006049,200.000000,0.142857,Gyungmin_wav
0.089207,0.009285,3.068203,0.161090,0.204597,0.494719,0.007075,0.140613,-28.791082,2.680384,-0.780380,-0.050100,0.453427,-0.279916,-0.775429,0.099683,-0.147283,-0.190831,0.104586,0.283623,-0.062004,0.015895,0.011995,0.015349,0.010513,0.035703,0.012231,0.017336,0.006378,0.015163,0.012742,0.019162,0.006039,0.014435,0.096284,0.015369,0.241337,0.102929,0.051238,0.643839,0.004155,0.204220,2.358837,0.959475,0.771728,0.443919,0.334761,0.395517,0.277526,0.237863,0.193554,0.220046,0.192148,0.184299,0.166587,0.017770,0.012266,0.013524,0.008096,0.029507,0.010905,0.012708,0.006381,0.013985,0.013148,0.019370,0.005126,0.007370,171.428571,0.225806,Gyungmin_wav
0.076952,0.010086,3.054913,0.162747,0.202856,0.508420,0.007121,0.172850,-28.495510,2.737782,-0.812839,-0.120004,0.428345,-0.263356,-0.666262,0.160505,-0.069380,-0.151136,0.078539,0.219355,-0.116139,0.014215,0.009751,0.015777,0.012468,0.031611,0.011620,0.014542,0.006479,0.016145,0.017347,0.018038,0.008150,0.013442,0.072155,0.014905,0.207452,0.117343,0.057511,0.689482,0.003839,0.250778,2.493645,0.766916,0.857319,0.421359,0.397876,0.328495,0.274227,0.257932,0.205830,0.243999,0.231475,0.187135,0.188063,0.013897,0.011215,0.013587,0.012581,0.023112,0.008801,0.009584,0.007313,0.015587,0.015379,0.015273,0.004913,0.006354,200.000000,0.181818,Gyungmin_wav
0.065947,0.009447,3.067893,0.145909,0.196397,0.418298,0.006918,0.103542,-28.382480,2.611360,-0.745852,-0.229801,0.457403,-0.085447,-0.749670,0.204591,-0.183006,-0.257286,0.107220,0.269920,-0.215724,0.013496,0.012061,0.012925,0.010032,0.038329,0.013190,0.016221,0.007301,0.016051,0.013673,0.015547,0.008686,0.015855,0.055929,0.014869,0.223252,0.085182,0.048987,0.530620,0.003355,0.123181,2.666846,0.870296,0.811000,0.425222,0.320825,0.395509,0.257981,0.208411,0.216246,0.262673,0.160229,0.169855,0.154295,0.010672,0.014948,0.011166,0.006039,0.041341,0.011585,0.012565,0.013621,0.014826,0.014351,0.015546,0.011493,0.010420,171.428571,0.157895,Gyungmin_wav
0.076860,0.003004,3.019134,0.167138,0.209387,0.459869,0.007154,0.137956,-31.887579,2.620094,-0.829779,-0.091606,0.484773,-0.281922,-0.697153,0.163646,-0.118304,-0.243498,0.017622,0.324271,-0.108023,0.014878,0.012375,0.013789,0.009114,0.031101,0.012564,0.019545,0.004511,0.014391,0.009309,0.016936,0.006469,0.012983,0.068681,0.005366,0.300805,0.106892,0.050481,0.649076,0.003149,0.202456,1.818711,0.783516,0.713216,0.362852,0.366833,0.354269,0.267953,0.246582,0.248991,0.220758,0.223077,0.168100,0.160918,0.012988,0.013351,0.008061,0.006829,0.025235,0.012578,0.014166,0.005079,0.012678,0.006120,0.015476,0.005701,0.005908,133.333333,0.106383,Gyungmin_wav
0.098233,0.006494,3.092924,0.162949,0.191763,0.620998,0.006164,0.170659,-28.427735,2.872850,-1.313075,-0.159564,0.620903,-0.437449,-0.592668,0.122033,-0.137726,-0.234533,0.030934,0.392628,-0.063082,0.013755,0.012466,0.015371,0.010147,0.022369,0.014228,0.015410,0.004282,0.016105,0.010895,0.010703,0.007301,0.010194,0.128387,0.010025,0.119170,0.122927,0.040422,0.960973,0.002914,0.242377,1.750555,0.729329,0.461237,0.362413,0.294948,0.245799,0.239824,0.179248,0.205128,0.205289,0.189508,0.136578,0.131666,0.010822,0.014413,0.010770,0.007913,0.018036,0.010225,0.013111,0.005179,0.016600,0.007228,0.008055,0.004939,0.005142,240.000000,0.108108,Gyungmin_wav
0.114031,0.003561,3.104597,0.176520,0.193798,0.722163,0.005259,0.173843,-29.656177,2.550502,-1.251572,-0.133711,0.496759,-0.444032,-0.554292,0.121645,-0.133782,-0.234005,0.000488,0.317772,-0.054241,0.012626,0.011891,0.012706,0.008842,0.021545,0.011364,0.014742,0.003439,0.015991,0.009186,0.012782,0.008928,0.009242,0.126138,0.007064,0.194489,0.113555,0.035224,0.955846,0.003005,0.223228,2.314815,0.798622,0.407584,0.363317,0.280054,0.250884,0.226232,0.202993,0.198380,0.174638,0.191943,0.159387,0.172230,0.008807,0.011948,0.009251,0.007556,0.015493,0.008469,0.011730,0.003560,0.014260,0.006066,0.009529,0.007238,0.004467,120.000000,0.210526,Gyungmin_wav
0.128553,0.003751,3.084925,0.225348,0.235818,0.835047,0.004949,0.223304,-29.807755,2.616663,-1.043257,-0.183168,0.553373,-0.373923,-0.581074,0.025873,-0.062882,-0.242400,0.022539,0.343920,-0.060334,0.014613,0.012936,0.012769,0.008663,0.019045,0.010869,0.020562,0.005437,0.016727,0.010129,0.013964,0.006261,0.009449,0.130584,0.008084,0.232578,0.115994,0.050601,0.907972,0.002964,0.252048,1.623430,0.680326,0.449357,0.316496,0.301986,0.219099,0.182565,0.195712,0.189637,0.165314,0.190011,0.180065,0.135331,0.013046,0.010832,0.009523,0.005697,0.013387,0.007610,0.013110,0.007171,0.012258,0.007426,0.010642,0.005079,0.004013,120.000000,0.166667,Gyungmin_wav
0.101240,0.005372,3.107803,0.155894,0.184465,0.600021,0.006830,0.163626,-29.387155,2.987333,-1.311744,0.045912,0.685033,-0.433737,-0.637532,0.182508,-0.119698,-0.317566,0.043397,0.261445,-0.008722,0.011063,0.015838,0.015336,0.010069,0.027303,0.013368,0.013507,0.005791,0.015459,0.008599,0.011227,0.005928,0.010796,0.123076,0.010333,0.143124,0.117052,0.034569,1.004896,0.003523,0.223088,1.801415,0.657004,0.419157,0.420461,0.258501,0.283426,0.214732,0.176597,0.161257,0.166664,0.168143,0.156667,0.134609,0.008573,0.014678,0.010638,0.007750,0.017723,0.011188,0.009454,0.008287,0.016873,0.007103,0.009090,0.005820,0.005615,120.000000,0.172414,Gyungmin_wav
0.107432,0.005057,3.125373,0.171199,0.191785,0.663880,0.005432,0.189973,-29.575920,2.814017,-1.260363,-0.084461,0.642520,-0.382180,-0.657854,0.200407,-0.156549,-0.267238,0.102657,0.333949,-0.047102,0.012644,0.016504,0.012888,0.009198,0.022496,0.013479,0.014082,0.004423,0.016707,0.009959,0.014516,0.009512,0.009425,0.131825,0.010564,0.185074,0.123391,0.048340,0.983155,0.003021,0.245938,2.178551,0.727983,0.466568,0.386814,0.254808,0.226374,0.215934,0.193099,0.267607,0.140801,0.191647,0.141838,0.153042,0.008581,0.013154,0.007424,0.005987,0.014578,0.010365,0.009337,0.005170,0.013446,0.007654,0.007547,0.009373,0.004276,133.333333,0.147059,Gyungmin_wav
